;fecha;idema;provincia;p_mes;tm_mes
0;2008-1;3195;MADRID;25.2;8.0
1;2008-2;3195;MADRID;32.1;9.3
2;2008-3;3195;MADRID;5.6;10.9
3;2008-4;3195;MADRID;66.1;14.0
4;2008-5;3195;MADRID;86.3;15.5
5;2008-6;3195;MADRID;37.4;21.2
6;2008-7;3195;MADRID;0.7;25.0
7;2008-8;3195;MADRID;0.1;25.7
8;2008-9;3195;MADRID;57.7;19.8
9;2008-10;3195;MADRID;99.1;14.6
10;2008-11;3195;MADRID;7.7;7.9
11;2008-12;3195;MADRID;45.3;6.3
12;2009-1;3195;MADRID;29.8;5.2
13;2009-2;3195;MADRID;41.5;7.9
14;2009-3;3195;MADRID;9.6;12.4
15;2009-4;3195;MADRID;17.8;12.6
16;2009-5;3195;MADRID;32.0;19.3
17;2009-6;3195;MADRID;10.8;23.7
18;2009-7;3195;MADRID;1.8;26.3
19;2009-8;3195;MADRID;0.8;27.5
20;2009-9;3195;MADRID;12.3;21.5
21;2009-10;3195;MADRID;37.2;17.3
22;2009-11;3195;MADRID;12.6;11.5
23;2009-12;3195;MADRID;129.2;6.2
24;2010-1;3195;MADRID;61.0;5.4
25;2010-2;3195;MADRID;112.3;6.4
26;2010-3;3195;MADRID;59.7;9.3
27;2010-4;3195;MADRID;47.8;14.3
28;2010-5;3195;MADRID;22.7;16.2
29;2010-6;3195;MADRID;58.6;21.1
30;2010-7;3195;MADRID;15.3;27.5
31;2010-8;3195;MADRID;3.4;26.0
32;2010-9;3195;MADRID;11.8;21.3
33;2010-10;3195;MADRID;58.1;14.1
34;2010-11;3195;MADRID;28.2;8.7
35;2010-12;3195;MADRID;78.4;6.2
36;2011-1;3195;MADRID;40.7;6.4
37;2011-2;3195;MADRID;30.4;8.5
38;2011-3;3195;MADRID;50.3;10.0
39;2011-4;3195;MADRID;57.7;16.7
40;2011-5;3195;MADRID;61.4;19.1
41;2011-6;3195;MADRID;29.1;22.8
42;2011-7;3195;MADRID;0.0;25.1
43;2011-8;3195;MADRID;10.1;25.9
44;2011-9;3195;MADRID;0.4;22.7
45;2011-10;3195;MADRID;29.6;17.2
46;2011-11;3195;MADRID;65.3;11.2
47;2011-12;3195;MADRID;5.4;6.9
48;2012-1;3195;MADRID;6.5;6.7
49;2012-2;3195;MADRID;5.6;6.2
50;2012-3;3195;MADRID;22.2;11.9
51;2012-4;3195;MADRID;61.0;11.6
52;2012-5;3195;MADRID;33.7;19.2
53;2012-6;3195;MADRID;1.7;24.5
54;2012-7;3195;MADRID;7.6;26.2
55;2012-8;3195;MADRID;0.3;26.9
56;2012-9;3195;MADRID;76.1;21.2
57;2012-10;3195;MADRID;44.0;15.0
58;2012-11;3195;MADRID;63.1;9.9
59;2012-12;3195;MADRID;9.9;6.8
60;2013-1;3195;MADRID;26.3;6.5
61;2013-2;3195;MADRID;21.5;6.9
62;2013-3;3195;MADRID;99.9;9.4
63;2013-4;3195;MADRID;52.9;12.8
64;2013-5;3195;MADRID;28.5;15.0
65;2013-6;3195;MADRID;5.7;21.3
66;2013-7;3195;MADRID;4.5;27.3
67;2013-8;3195;MADRID;0.9;26.7
68;2013-9;3195;MADRID;23.3;22.4
69;2013-10;3195;MADRID;43.2;16.5
70;2013-11;3195;MADRID;13.7;9.2
71;2013-12;3195;MADRID;52.6;6.3
72;2014-1;3195;MADRID;63.7;8.0
73;2014-2;3195;MADRID;50.2;7.3
74;2014-3;3195;MADRID;22.8;11.6
75;2014-4;3195;MADRID;58.5;16.2
76;2014-5;3195;MADRID;11.7;18.1
77;2014-6;3195;MADRID;14.2;22.4
78;2014-7;3195;MADRID;2.6;24.9
79;2014-8;3195;MADRID;0.0;25.7
80;2014-9;3195;MADRID;25.0;21.9
81;2014-10;3195;MADRID;71.9;18.2
82;2014-11;3195;MADRID;73.9;11.2
83;2014-12;3195;MADRID;22.8;7.3
84;2015-1;3195;MADRID;17.0;6.2
85;2015-2;3195;MADRID;21.5;7.0
86;2015-3;3195;MADRID;36.6;11.8
87;2015-4;3195;MADRID;47.1;15.1
88;2015-5;3195;MADRID;0.1;20.3
89;2015-6;3195;MADRID;44.6;24.7
90;2015-7;3195;MADRID;3.6;29.8
91;2015-8;3195;MADRID;3.3;25.6
92;2015-9;3195;MADRID;9.4;20.7
93;2015-10;3195;MADRID;60.6;15.8
94;2015-11;3195;MADRID;30.5;12.1
95;2015-12;3195;MADRID;4.1;9.9
96;2016-1;3195;MADRID;34.2;8.4
97;2016-2;3195;MADRID;39.3;8.4
98;2016-3;3195;MADRID;42.7;9.6
99;2016-4;3195;MADRID;93.2;12.3
100;2016-5;3195;MADRID;55.1;16.3
101;2016-6;3195;MADRID;1.1;23.8
102;2016-7;3195;MADRID;11.4;28.1
103;2016-8;3195;MADRID;0.0;27.5
104;2016-9;3195;MADRID;8.1;23.0
105;2016-10;3195;MADRID;75.4;17.0
106;2016-11;3195;MADRID;95.7;9.7
107;2016-12;3195;MADRID;29.8;8.3
108;2017-1;3195;MADRID;21.5;6.0
109;2017-2;3195;MADRID;44.8;9.2
110;2017-3;3195;MADRID;19.2;12.2
111;2017-4;3195;MADRID;12.4;16.0
112;2017-5;3195;MADRID;27.1;20.1
113;2017-6;3195;MADRID;4.7;26.4
114;2017-7;3195;MADRID;49.3;26.8
115;2017-8;3195;MADRID;26.0;26.7
116;2017-9;3195;MADRID;0.0;21.5
117;2017-10;3195;MADRID;24.7;18.7
118;2017-11;3195;MADRID;9.0;10.3
119;2017-12;3195;MADRID;17.4;6.8
120;2018-1;3195;MADRID;50.4;7.2
121;2018-2;3195;MADRID;73.0;6.3
122;2018-3;3195;MADRID;140.7;8.9
123;2018-4;3195;MADRID;78.8;13.5
124;2018-5;3195;MADRID;78.4;17.1
125;2018-6;3195;MADRID;19.0;22.2
126;2018-7;3195;MADRID;0.0;26.0
127;2018-8;3195;MADRID;0.0;27.7
128;2018-9;3195;MADRID;9.8;24.1
129;2018-10;3195;MADRID;57.3;15.5
130;2018-11;3195;MADRID;70.4;10.4
131;2018-12;3195;MADRID;11.4;7.8
132;2008-1;5783;SEVILLA;46.3;12.9
133;2008-2;5783;SEVILLA;69.8;15.3
134;2008-3;5783;SEVILLA;14.9;16.0
135;2008-4;5783;SEVILLA;174.1;18.5
136;2008-5;5783;SEVILLA;34.4;20.0
137;2008-6;5783;SEVILLA;0.0;26.6
138;2008-7;5783;SEVILLA;2.2;28.5
139;2008-8;5783;SEVILLA;0.0;28.7
140;2008-9;5783;SEVILLA;36.8;24.3
141;2008-10;5783;SEVILLA;63.0;20.1
142;2008-11;5783;SEVILLA;6.7;13.3
143;2008-12;5783;SEVILLA;39.1;10.7
144;2009-1;5783;SEVILLA;45.1;10.9
145;2009-2;5783;SEVILLA;114.1;12.7
146;2009-3;5783;SEVILLA;39.9;16.5
147;2009-4;5783;SEVILLA;19.7;17.1
148;2009-5;5783;SEVILLA;0.1;22.4
149;2009-6;5783;SEVILLA;4.4;26.8
150;2009-7;5783;SEVILLA;0.0;29.5
151;2009-8;5783;SEVILLA;0.0;29.8
152;2009-9;5783;SEVILLA;29.3;25.6
153;2009-10;5783;SEVILLA;40.2;23.2
154;2009-11;5783;SEVILLA;17.0;17.1
155;2009-12;5783;SEVILLA;287.6;12.6
156;2010-1;5783;SEVILLA;159.0;11.4
157;2010-2;5783;SEVILLA;187.4;13.3
158;2010-3;5783;SEVILLA;84.9;15.0
159;2010-4;5783;SEVILLA;53.7;19.5
160;2010-5;5783;SEVILLA;6.5;21.3
161;2010-6;5783;SEVILLA;20.5;24.9
162;2010-7;5783;SEVILLA;0.7;30.3
163;2010-8;5783;SEVILLA;4.2;30.6
164;2010-9;5783;SEVILLA;3.9;26.0
165;2010-10;5783;SEVILLA;70.5;19.5
166;2010-11;5783;SEVILLA;113.3;14.0
167;2010-12;5783;SEVILLA;204.0;12.8
168;2011-1;5783;SEVILLA;29.0;12.0
169;2011-2;5783;SEVILLA;45.0;12.8
170;2011-3;5783;SEVILLA;57.0;15.1
171;2011-4;5783;SEVILLA;107.1;20.0
172;2011-5;5783;SEVILLA;16.3;23.4
173;2011-6;5783;SEVILLA;0.0;27.3
174;2011-7;5783;SEVILLA;0.0;28.4
175;2011-8;5783;SEVILLA;0.0;29.1
176;2011-9;5783;SEVILLA;23.7;25.8
177;2011-10;5783;SEVILLA;50.4;22.8
178;2011-11;5783;SEVILLA;62.5;15.5
179;2011-12;5783;SEVILLA;5.2;11.8
180;2012-1;5783;SEVILLA;13.6;11.1
181;2012-2;5783;SEVILLA;1.0;9.8
182;2012-3;5783;SEVILLA;12.8;15.3
183;2012-4;5783;SEVILLA;53.0;15.8
184;2012-5;5783;SEVILLA;30.4;23.2
185;2012-6;5783;SEVILLA;0.0;26.9
186;2012-7;5783;SEVILLA;0.0;27.7
187;2012-8;5783;SEVILLA;0.0;28.9
188;2012-9;5783;SEVILLA;75.4;24.9
189;2012-10;5783;SEVILLA;129.7;19.8
190;2012-11;5783;SEVILLA;125.5;15.0
191;2012-12;5783;SEVILLA;22.3;11.6
192;2013-1;5783;SEVILLA;34.5;11.3
193;2013-2;5783;SEVILLA;62.5;10.8
194;2013-3;5783;SEVILLA;156.5;14.0
195;2013-4;5783;SEVILLA;26.4;17.3
196;2013-5;5783;SEVILLA;7.2;19.7
197;2013-6;5783;SEVILLA;3.1;24.6
198;2013-7;5783;SEVILLA;0.0;28.3
199;2013-8;5783;SEVILLA;1.4;29.0
200;2013-9;5783;SEVILLA;15.2;25.8
201;2013-10;5783;SEVILLA;49.7;21.6
202;2013-11;5783;SEVILLA;1.4;14.1
203;2013-12;5783;SEVILLA;46.8;11.9
204;2014-1;5783;SEVILLA;77.6;12.4
205;2014-2;5783;SEVILLA;67.1;12.4
206;2014-3;5783;SEVILLA;39.5;15.1
207;2014-4;5783;SEVILLA;35.4;19.2
208;2014-5;5783;SEVILLA;7.3;22.5
209;2014-6;5783;SEVILLA;1.7;24.7
210;2014-7;5783;SEVILLA;0.0;26.6
211;2014-8;5783;SEVILLA;0.0;27.6
212;2014-9;5783;SEVILLA;127.6;24.6
213;2014-10;5783;SEVILLA;102.5;22.2
214;2014-11;5783;SEVILLA;140.7;16.2
215;2014-12;5783;SEVILLA;35.1;11.0
216;2015-1;5783;SEVILLA;52.9;10.4
217;2015-2;5783;SEVILLA;6.6;11.4
218;2015-3;5783;SEVILLA;29.9;15.5
219;2015-4;5783;SEVILLA;43.1;18.9
220;2015-5;5783;SEVILLA;0.0;24.0
221;2015-6;5783;SEVILLA;0.4;26.3
